accuracy,reaction_time,error_ratio,accuracy_trend,incorrect_responses,n
0.0,0.0015878677368164062,1.0,-0.0,1,1
50.0,0.0014438629150390625,0.5,49.999999999999964,1,1
66.66666666666666,0.002584218978881836,0.3333333333333333,33.333333333333336,1,1
75.0,0.00150299072265625,0.25,24.166666666666668,1,1
80.0,0.0013782978057861328,0.2,18.5,1,1
83.33333333333334,0.0014846324920654297,0.16666666666666666,14.714285714285719,1,1
85.71428571428571,0.0017621517181396484,0.14285714285714285,12.040816326530612,1,1
75.0,0.0017211437225341797,0.25,9.03061224489796,2,1
66.66666666666666,0.0018634796142578125,0.3333333333333333,6.468253968253967,3,1
60.0,0.0018835067749023438,0.4,4.447330447330443,4,1
54.54545454545454,0.001619577407836914,0.45454545454545453,2.894923258559621,5,1
50.0,0.0018341541290283203,0.5,1.713135349498982,6,1
53.84615384615385,0.0018701553344726562,0.46153846153846156,1.0691872230333783,6,1
50.0,0.0018668174743652344,0.5,0.5239815129925035,7,1
46.666666666666664,0.0018808841705322266,0.5333333333333333,0.07316493030778508,8,1
43.75,0.0018298625946044922,0.5625,-0.2944365683336295,9,1
41.17647058823529,0.0021543502807617188,0.5882352941176471,-0.5914002015861886,10,1
38.88888888888889,0.0018563270568847656,0.6111111111111112,-0.8295533038293919,11,1
36.84210526315789,0.0020334720611572266,0.631578947368421,-1.0192402136756042,12,1
35.0,0.0020630359649658203,0.65,-1.1691958915561618,13,1
33.33333333333333,0.0018851757049560547,0.6666666666666666,-1.2866627021315262,14,1
31.818181818181817,0.0018756389617919922,0.6818181818181818,-1.3775882375006,15,1
30.434782608695656,0.0021953582763671875,0.6956521739130435,-1.4468338728030108,16,1
29.166666666666668,0.0020172595977783203,0.7083333333333334,-1.4983658326781204,17,1
100.0,0.0017900466918945312,0.0,49.99999999999997,0,1
100.0,0.0019626617431640625,0.0,7.348301093611927e-15,0,1
100.0,0.002319812774658203,0.0,-1.4069714284236309e-14,0,1
100.0,0.0020716190338134766,0.0,-7.751674554339824e-15,0,1
100.0,0.002002239227294922,0.0,-4.636682372722705e-16,0,1
100.0,0.0020101070404052734,0.0,7.735715910002038e-16,0,1
100.0,0.0018699169158935547,0.0,9.113545732757483e-15,0,1
100.0,0.0018990039825439453,0.0,9.677679659913125e-15,0,1
100.0,0.0019736289978027344,0.0,-5.221139064602511e-15,0,1
90.0,0.001970529556274414,0.1,-0.5454545454545443,1,1
90.9090909090909,0.0019576549530029297,0.09090909090909091,-0.7768595041322341,1,1
91.66666666666666,0.0018870830535888672,0.08333333333333333,-0.8513456240728983,1,1
92.3076923076923,0.0019834041595458984,0.07692307692307693,-0.8471656548579674,1,1
92.85714285714286,0.0019140243530273438,0.07142857142857142,-0.804634925514047,1,1
93.33333333333333,0.0019004344940185547,0.06666666666666667,-0.7449693163978918,1,1
93.75,0.001806497573852539,0.0625,-0.679421681259913,1,1
94.11764705882352,0.0018360614776611328,0.058823529411764705,-0.6139072504773218,1,1
94.44444444444444,0.0014297962188720703,0.05555555555555555,-0.5514286212246472,1,1
94.73684210526315,0.0019240379333496094,0.05263157894736842,-0.4933835032010057,1,1
90.0,0.00191497802734375,0.1,-0.5117143258132297,2,1
90.47619047619048,0.0027239322662353516,0.09523809523809523,-0.5124539633053604,2,1
